lfdr,p_values
,0.20962372473171698
,0.2107006314297344
0.9999963626144718,0.21099036220790168
,0.21104508007856715
,0.21116786893850814
,0.21140046664046397
0.9999992051073364,0.21173642040049834
,0.21257829011997986
0.9455528030614642,0.21277275297272125
,0.21278082467235693
,0.21313479704128813
0.9988081013779775,0.21316069989873465
,0.21322695055032448
0.9999999999978626,0.21360106733953554
,0.21372563501637365
0.24179923871179126,0.21405517761056814
0.9367106380870622,0.21444704462258868
,0.2147138711653207
0.9998317210739484,0.21502315833104568
,0.2154262288185651
,0.21580261884179652
0.9369702517174794,0.21585109643105505
0.9411540544253709,0.21602286472939458
0.6547974008160473,0.2167163821698196
0.9657113652411564,0.21701625270913294
,0.2170812680860037
0.6552263180885284,0.21722948369101602
0.9463154817713786,0.21756797304797681
,0.21820753180338626
,0.21847492793921597
0.542757397953985,0.2185075379995023
0.5595617221404783,0.2190118867863894
,0.21939976762360835
0.9690893141814547,0.2194743606915217
,0.2196270487942832
,0.21998873974194066
0.5979545798525874,0.2202258039624978
,0.22098022906374581
,0.22119933998683927
,0.22135093401573291
,0.22150587178535508
,0.2216219636494111
,0.2217693749061842
,0.22207723308089033
0.527744581126496,0.22239063689470906
,0.2225779896883895
,0.22317842781811836
,0.22365580585465017
0.9999999999956709,0.2240234356147548
,0.22445220393777143
,0.22455639745675826
0.999999983955229,0.2251304976974876
0.9999999999999993,0.22625688263237886
,0.22647932060985643
,0.22686071219457038
,0.22745619832442032
0.6733411493247802,0.22757906563765462
0.9999999999999999,0.22897791968361791
,0.2292887060821549
,0.23013834631695262
,0.23015921815098683
,0.23068330290111028
,0.23095514611992007
0.6743948936794615,0.2311252159976922
,0.23156682525191552
,0.2316497967070812
,0.23200078378957167
,0.2321508436700126
0.9999876041158755,0.23271290047608562
,0.23339496410008564
,0.23400822555328982
,0.23410407091724972
,0.234697099630491
,0.23473329632153195
,0.23475651282640153
,0.23632040757262152
0.9999999993531928,0.2365356994025134
,0.23658668826426077
,0.23662439352432896
0.9999999999999946,0.23726675499980554
,0.2379419216127594
0.7479508843061208,0.23919956384049645
0.578805936390341,0.23926431055753306
0.7922891514996778,0.2409607688527705
0.9999896441022481,0.24145498106795893
,0.24161449554124215
,0.24183825323664798
,0.24186611297297156
,0.24224150843856962
0.9996344278350973,0.24294080592313216
0.41350009774191465,0.24343384557242342
,0.24375771442987193
,0.2438741415408735
0.9502864919614357,0.24426671512761644
,0.24442849285332402
,0.2445681102418571
,0.24612627362131678
0.9900141592167563,0.24662499984225317
,0.2475272773791014
0.859922918331977,0.24757782383573668
,0.24785144954010085
,0.24815395929032324
,0.24889728109022502
,0.24952544810397292
0.4204880146107493,0.25004915340938383
,0.25013424626500413
0.9755019027538067,0.2501789402777681
0.9653821483213408,0.2504987234151278
,0.2505948895719863
,0.2509598578380874
0.9291397902525075,0.25106552040994345
,0.2518680447132102
0.5491726708876994,0.2518717686244638
,0.25194332791212526
,0.2526652703505875
,0.25309168284099537
,0.2531958657756078
,0.2532699546845516
0.7985785417359892,0.254467968619285
,0.25491680402175343
,0.2552787198991461
0.99894744889261,0.2554058364125442
0.5935020179719013,0.255481776693243
,0.25587846602452613
0.9989500922662874,0.25628328273749235
,0.2569820684339008
,0.25711793392841575
,0.2579084888914187
,0.2579906003185555
0.9999999999989925,0.2580625118521901
0.8939561283441302,0.25858587913537634
,0.25866474246699234
,0.2596112345049987
,0.26005030417464337
,0.2602217106179414
,0.2602426309918243
,0.2603014942962685
0.9999989322588014,0.26035835153407205
,0.2603987287354279
0.9999999986185676,0.2607089607176014
,0.2609855362946675
,0.2614391061188883
0.9455761614054267,0.26157409104072793
,0.2619523056900418
,0.263190402518909
,0.2633212210906962
,0.2634832921733381
0.9999999677601958,0.26378226326504206
0.999999999996746,0.2637998631755727
,0.26386039943530615
,0.2640808073390776
,0.26408106009226173
0.47789526269145177,0.2643245510449641
0.9996562210981653,0.2643258367073773
,0.2646839019836599
,0.26484377498090017
,0.26485147389451924
,0.2649737414093867
0.999999992255957,0.26527297076402834
0.9765690060707904,0.26593492554829357
,0.26635047117713717
,0.26706915313881185
0.9999998492916744,0.2684945297888791
,0.2688769230804532
0.9999999999981832,0.2692585614573837
,0.27041797805813184
,0.27077111390556075
,0.27116340995826316
,0.2712469515166692
